action	file	line	before	after	reason
CHANGED	src/lib/vyron-order-notifications.ts	394	` <div style="margin:0;padding:24px;background:#f1f5f9;font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Helvetica,Arial,sans-serif;">   <div style	` <div style="margin:0;padding:24px;background:#f1f5f9;font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Helvetica,Arial,sans-serif;">   <div style	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	418	}" style="display:block;margin-top:24px;padding:14px;background:#0b202b;color:#ffffff;text-align:center;text-decoration:none;border-radius:12px;font-size:13px;f	}" style="display:block;margin-top:24px;padding:14px;background:#0b202b;color:#ffffff;text-align:center;text-decoration:none;border-radius:12px;font-size:13px;f	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	440	} — VYRON ORDER`	} — VOLORA Order`	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	454	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
KEPT	src/lib/vyron-order-notifications.ts	511	"VYRON ORDER CENTRE"		recipient_name written to the delivery table (data)
CHANGED	src/lib/vyron-order-notifications.ts	616	"VYRON ORDER test notification"	"VOLORA Order test notification"	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	618	"This is a VYRON ORDER test notification.\n\nNo order was created. If you received this, order notifications will reach you at this address."	"This is a VOLORA Order test notification.\n\nNo order was created. If you received this, order notifications will reach you at this address."	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	619	` <div style="margin:0;padding:24px;background:#f1f5f9;font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Helvetica,Arial,sans-serif;">   <div style	` <div style="margin:0;padding:24px;background:#f1f5f9;font-family:-apple-system,BlinkMacSystemFont,'Segoe UI',Roboto,Helvetica,Arial,sans-serif;">   <div style	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	639	"VYRON ORDER: this is a test notification. No order was created."	"VOLORA Order: this is a test notification. No order was created."	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	644	"VYRON ORDER: this is a test notification. No order was created."	"VOLORA Order: this is a test notification. No order was created."	user-visible brand text
CHANGED	src/lib/vyron-order-notifications.ts	645	"VYRON ORDER"	"VOLORA Order"	user-visible brand text
KEPT	src/lib/vyron-order-providers.ts	382	"VYRON"		provider identifier returned by the status API
KEPT	src/lib/vyron-pie-demo.ts	38	"Vyron Pie Co"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	43	"Vyron Pie Co"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	44	"Vyron Pie Manufacturing"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	230	"VYRON AI"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	246	"VYRON AI"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	262	"VYRON AI"		seeded demo data values
KEPT	src/lib/vyron-pie-demo.ts	278	"VYRON AI"		seeded demo data values
CHANGED	src/lib/vyron-recovery-detail.ts	64	} finished products are below target GP. VYRON COST calculated avoidable margin loss from GP gap × estimated monthly sales.`	} finished products are below target GP. VOLORA calculated avoidable margin loss from GP gap × estimated monthly sales.`	user-visible brand text
CHANGED	src/lib/vyron-recovery-detail.ts	169	"VYRON COST identified an avoidable monthly loss from imported costing and intelligence rules."	"VOLORA identified an avoidable monthly loss from imported costing and intelligence rules."	user-visible brand text
CHANGED	src/lib/vyron-recovery-detail.ts	173	"VYRON COST intelligence engine · Handcrafted tenant"	"VOLORA intelligence engine · Handcrafted tenant"	user-visible brand text
CHANGED	src/lib/vyron-report-context.ts	13	"VYRON COST Workspace"	"VOLORA Workspace"	user-visible brand text
CHANGED	src/lib/vyron-report-pdf-export.ts	13	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/lib/vyron-v1-navigation.ts	150	"Ask VYRON"	"Ask VOLORA"	user-visible brand text
KEPT	src/lib/vyron-workflow-trace.ts	83	`[VYRON] ${		developer log prefix (internal technical)
CHANGED	src/lib/vyron-workforce-digital-twin.ts	407	`VYRON CORE workforce twin shows ${	`VOLORA Core workforce twin shows ${	user-visible brand text
CHANGED	src/lib/vyron-workspace-login.ts	157	"No workspace is linked to this login. Contact your VYRON administrator."	"No workspace is linked to this login. Contact your VOLORA administrator."	user-visible brand text
CHANGED	src/lib/vyron-workspace-login.ts	176	"No workspace is linked to this login. Contact your VYRON administrator."	"No workspace is linked to this login. Contact your VOLORA administrator."	user-visible brand text
CHANGED	src/lib/vyron-workspace-login.ts	184	"No workspace is linked to this login. Contact your VYRON administrator."	"No workspace is linked to this login. Contact your VOLORA administrator."	user-visible brand text
CHANGED	src/platform/managers/package-manager.ts	193	"The complete VYRON platform: everything in Enterprise plus every Multi-Store Operations capability."	"The complete VOLORA platform: everything in Enterprise plus every Multi-Store Operations capability."	user-visible brand text
CHANGED	src/platform/managers/package-manager.ts	256	"Payroll cost intelligence for VYRON PAY tenants."	"Payroll cost intelligence for VOLORA Pay tenants."	user-visible brand text
CHANGED	src/platform/managers/package-manager.ts	263	"Agricultural yield and supply intelligence for VYRON FARM."	"Agricultural yield and supply intelligence for VOLORA Farm."	user-visible brand text
CHANGED	src/platform/managers/package-manager.ts	574	}. Contact VYRON to upgrade.`	}. Contact VOLORA to upgrade.`	user-visible brand text
CHANGED	src/platform/managers/package-manager.ts	642	"VYRON ORDER customer ordering"	"VOLORA Order customer ordering"	user-visible brand text
CHANGED	src/platform/products/vyron-core.ts	5	"VYRON CORE"	"VOLORA Core"	user-visible brand text
CHANGED	src/platform/products/vyron-cost.ts	18	"VYRON COST"	"VOLORA"	user-visible brand text
CHANGED	src/platform/products/vyron-farm.ts	5	"VYRON FARM"	"VOLORA Farm"	user-visible brand text
CHANGED	src/platform/products/vyron-pay.ts	5	"VYRON PAY"	"VOLORA Pay"	user-visible brand text
CHANGED	src/platform/products/vyron-pay.ts	7	"Payments, collections and finance operations for VYRON tenants."	"Payments, collections and finance operations for VOLORA tenants."	user-visible brand text
CHANGED	src/platform/products/vyron-reach.ts	5	"VYRON REACH"	"VOLORA Reach"	user-visible brand text
